@relation ads

@attribute health numeric
@attribute indicator numeric
@attribute profit {Y, N}

@data
4,11,Y
14,15,N
13,9,Y
7,1,Y
18,11,N
8,1,Y
1,18,Y
5,19,N
15,14,N
1,15,Y
7,10,Y
10,10,Y
2,16,Y
12,11,N
15,14,N
14,9,N
9,4,Y
4,8,Y
15,7,N
12,7,N
1,12,Y
2,15,Y
10,2,Y
20,2,Y
19,5,N
8,2,Y
10,2,Y
1,16,N
6,11,Y
11,15,N
16,1,N
10,9,N
9,7,Y
8,7,Y
15,9,N
6,9,Y
1,18,N
12,3,N
16,14,N
1,6,Y
5,9,Y
6,2,Y
6,13,Y
1,7,Y
18,12,N
3,5,Y
11,2,Y
12,5,N
9,12,N
17,3,N
11,10,N
2,14,N
6,18,N
20,9,N
18,19,N
1,2,Y
14,13,N
12,4,N
10,15,N
20,18,N
4,1,Y
11,13,N
3,14,Y
13,5,N
11,5,N
15,4,N
13,18,N
18,15,N
5,11,N
9,20,Y
5,16,N
15,7,N
5,10,Y
20,18,N
9,7,Y
11,1,Y
5,2,Y
11,5,Y
14,16,N
16,12,N
17,3,Y
6,10,Y
10,4,Y
7,2,Y
20,20,N
13,14,N
13,14,N
4,1,Y
18,19,N
17,19,N
3,3,Y
15,19,N
16,11,N
18,9,N
6,19,N
9,8,Y
4,7,Y
19,5,N
11,5,Y
12,15,N
4,12,N
10,2,Y
12,3,Y
9,2,Y
0,10,Y
1,9,Y
3,11,Y
